variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.1.mlp.gate,0.9611603115276071,0.03883968847239294,0.977252223224629,0.022747776775370987,7759.0
int8,model.layers.10.mlp.gate,0.9657724669968334,0.03422753300316661,0.9800017184344935,0.019998281565506537,7759.0
int8,model.layers.11.mlp.gate,0.9632592565315684,0.03674074346843159,0.9785410491042543,0.021458950895745676,7759.0
int8,model.layers.12.mlp.gate,0.9575497578848305,0.042450242115169456,0.9751256605232477,0.024874339476752327,7759.0
int8,model.layers.13.mlp.gate,0.9510197067614019,0.048980293238598094,0.9711517807277403,0.028848219272259668,7759.0
int8,model.layers.14.mlp.gate,0.9549230079968354,0.04507699200316462,0.9735146281737185,0.026485371826281523,7759.0
int8,model.layers.15.mlp.gate,0.948159740761855,0.05184025923814495,0.9695192679468825,0.03048073205311752,7759.0
int8,model.layers.16.mlp.gate,0.9561412553163844,0.043858744683615614,0.9742234824075118,0.025776517592488224,7759.0
int8,model.layers.17.mlp.gate,0.9552777419770352,0.04472225802296481,0.973772393349642,0.02622760665035795,7759.0
int8,model.layers.18.mlp.gate,0.9525497271984981,0.047450272801501936,0.9721184001374576,0.02788159986254235,7759.0
int8,model.layers.19.mlp.gate,0.9527307765482561,0.04726922345174389,0.9722687631567474,0.027731236843252627,7759.0
int8,model.layers.2.mlp.gate,0.9641061992524635,0.03589380074753645,0.9790350990247764,0.020964900975223633,7759.0
int8,model.layers.20.mlp.gate,0.9494964373170093,0.05050356268299072,0.970399965631294,0.029600034368705952,7759.0
int8,model.layers.21.mlp.gate,0.9461197693057195,0.053880230694280495,0.9682948833612391,0.031705116638760855,7759.0
int8,model.layers.22.mlp.gate,0.9499426165620026,0.05005738343799737,0.9705718090819093,0.02942819091809068,7759.0
int8,model.layers.23.mlp.gate,0.955765654631465,0.04423434536853499,0.9739871976629129,0.026012802337087138,7759.0
int8,model.layers.24.mlp.gate,0.948262288898943,0.05173771110105696,0.9696051896721906,0.03039481032780944,7759.0
int8,model.layers.25.mlp.gate,0.9553446939707837,0.0446553060292163,0.973772393349644,0.02622760665035595,7759.0
int8,model.layers.26.mlp.gate,0.9590884262877883,0.04091157371221166,0.975984877776333,0.024015122223666974,7759.0
int8,model.layers.3.mlp.gate,0.9686140211981,0.03138597880189997,0.9816557116466779,0.018344288353322136,7759.0
int8,model.layers.4.mlp.gate,0.9672546167584007,0.03274538324159926,0.980860935687576,0.01913906431242396,7759.0
int8,model.layers.5.mlp.gate,0.9651526031213961,0.03484739687860394,0.9796150706706068,0.020384929329393175,7759.0
int8,model.layers.6.mlp.gate,0.9672546167584016,0.03274538324159837,0.9808609356875759,0.01913906431242407,7759.0
int8,model.layers.7.mlp.gate,0.9650544068638992,0.034945593136100794,0.9795291489452976,0.020470851054702366,7759.0
int8,model.layers.8.mlp.gate,0.9651924953510029,0.03480750464899707,0.9796365511019335,0.020363448898066516,7759.0
int8,model.layers.9.mlp.gate,0.964824259385396,0.035175740614604045,0.9794002663573362,0.020599733642663764,7759.0
int4,model.layers.1.mlp.gate,0.9063944175427232,0.09360558245727679,0.9446449284701375,0.05535507152986252,7759.0
int4,model.layers.10.mlp.gate,0.8905198208587348,0.10948017914126518,0.9349787343729531,0.06502126562704691,7759.0
int4,model.layers.11.mlp.gate,0.8824842425692601,0.11751575743073994,0.9300597155990588,0.06994028440094124,7759.0
int4,model.layers.12.mlp.gate,0.8656135118049817,0.1343864881950183,0.9198350302873732,0.08016496971262677,7759.0
int4,model.layers.13.mlp.gate,0.8476178759591042,0.1523821240408958,0.9083644799587222,0.09163552004127784,7759.0
int4,model.layers.14.mlp.gate,0.8576364049233772,0.14236359507662277,0.9143145594363213,0.08568544056367866,7759.0
int4,model.layers.15.mlp.gate,0.8524361877757431,0.14756381222425685,0.9108776904239911,0.08912230957600886,7759.0
int4,model.layers.16.mlp.gate,0.8558828764138227,0.14411712358617734,0.9134123813205836,0.08658761867941644,7759.0
int4,model.layers.17.mlp.gate,0.8658743456139542,0.13412565438604585,0.9197061476994135,0.0802938523005865,7759.0
int4,model.layers.18.mlp.gate,0.8494639098066861,0.15053609019331393,0.9092666580744612,0.09073334192553884,7759.0
int4,model.layers.19.mlp.gate,0.8503550408434558,0.1496449591565442,0.9096103449756945,0.09038965502430552,7759.0
int4,model.layers.2.mlp.gate,0.9024665672429161,0.09753343275708393,0.9422176397301782,0.05778236026982175,7759.0
int4,model.layers.20.mlp.gate,0.8350450168467426,0.1649549831532574,0.9005885638183276,0.09941143618167236,7759.0
int4,model.layers.21.mlp.gate,0.8257476724417859,0.17425232755821407,0.8938222279503093,0.1061777720496907,7759.0
int4,model.layers.22.mlp.gate,0.8405605778849223,0.15943942211507767,0.9038965502426929,0.09610344975730711,7759.0
int4,model.layers.23.mlp.gate,0.8555625669170724,0.14443743308292756,0.9127679683807739,0.0872320316192261,7759.0
int4,model.layers.24.mlp.gate,0.845018074248595,0.15498192575140501,0.9063667998453082,0.09363320015469179,7759.0
int4,model.layers.25.mlp.gate,0.852510504488801,0.14748949551119905,0.9104910426601028,0.08950895733989717,7759.0
int4,model.layers.26.mlp.gate,0.8693309096711128,0.13066909032888718,0.9212097778923108,0.07879022210768916,7759.0
int4,model.layers.3.mlp.gate,0.9129336745652876,0.08706632543471238,0.9487047299909493,0.05129527000905065,7759.0
int4,model.layers.4.mlp.gate,0.9030956370174945,0.09690436298250549,0.942282081024161,0.057717918975839,7759.0
int4,model.layers.5.mlp.gate,0.8862611161231659,0.11373888387683406,0.9325729260643243,0.06742707393567571,7759.0
int4,model.layers.6.mlp.gate,0.8929261871006497,0.10707381289935025,0.9365468058598317,0.06345319414016826,7759.0
int4,model.layers.7.mlp.gate,0.8909598628376348,0.10904013716236516,0.9353868625681676,0.06461313743183239,7759.0
int4,model.layers.8.mlp.gate,0.8892205058334272,0.11077949416657284,0.9340765562572187,0.06592344374278125,7759.0
int4,model.layers.9.mlp.gate,0.8875309164779013,0.11246908352209872,0.9333032607294441,0.06669673927055586,7759.0
