config,lever,description,quantized_layers,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,gate_kl,nll,quant_audit,peak_vram_gb,residual_vram_gb,seconds
fp16,baseline,Unquantized reference,0,1.0,0.0,1.0,0.0,0.0,2.276696,quantized modules: 0 of 3153 Linear (model is unquantized),13.02,12.92,357.4
nf4_L12,layer_coverage,nf4 on the first 12 layers only,12,0.892616,0.107384,0.938002,0.061998,0.00422291,2.360324,"quantized modules: 2365 of 3153 Linear [Linear4bit=2365]; 12 layers touched, layers 0-11",18.96,18.71,242.6
nf4_L16,layer_coverage,nf4 on the first 16 layers only,16,0.885844,0.114156,0.933988,0.066012,0.00501273,2.363338,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",22.42,22.32,264.4
int8_t6,int8_threshold,"LLM.int8, outlier threshold 6.0 (bnb default)",16,0.95116,0.04884,0.972326,0.027674,0.00072682,2.279813,"quantized modules: 3152 of 3153 Linear [Linear8bitLt=3152]; 16 layers touched, layers 0-15",19.69,,583.1
int8_t12,int8_threshold,"LLM.int8, outlier threshold 12.0",16,0.950227,0.049773,0.971685,0.028315,0.00110949,2.303141,"quantized modules: 3152 of 3153 Linear [Linear8bitLt=3152]; 16 layers touched, layers 0-15",26.34,,420.8
nf4,4bit_type,4-bit normal-float,16,0.886024,0.113976,0.934091,0.065909,0.00497586,2.363891,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",30.24,,241.1
nf4_dq,4bit_type,4-bit normal-float + double quant,16,0.885844,0.114156,0.933988,0.066012,0.00501273,2.363338,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",33.86,,291.3
fp4,4bit_type,4-bit float,16,0.84757,0.15243,0.910741,0.089259,0.00920118,2.390194,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",37.76,,242.2
fp4_dq,4bit_type,4-bit float + double quant,16,0.847424,0.152576,0.910622,0.089378,0.0092482,2.389313,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",41.37,,284.7
nf4_fp32c,dequant_precision,"4-bit nf4, fp32 compute dtype",16,0.886022,0.113978,0.934091,0.065909,0.00497354,2.36379,"quantized modules: 3152 of 3153 Linear [Linear4bit=3152]; 16 layers touched, layers 0-15",45.27,,276.9
nf4_L2,layer_coverage,nf4 on the first 2 layers only,2,0.937409,0.062591,0.96416,0.03584,0.00136091,2.29353,"quantized modules: 395 of 3153 Linear [Linear4bit=395]; 2 layers touched, layers 0-1",57.0,,187.3
nf4_L4,layer_coverage,nf4 on the first 4 layers only,4,0.918641,0.081359,0.953183,0.046817,0.0024763,2.355843,"quantized modules: 789 of 3153 Linear [Linear4bit=789]; 4 layers touched, layers 0-3",67.43,,202.6
nf4_L8,layer_coverage,nf4 on the first 8 layers only,8,0.902169,0.097831,0.943545,0.056455,0.00341022,2.360191,"quantized modules: 1577 of 3153 Linear [Linear4bit=1577]; 8 layers touched, layers 0-7",75.54,,229.3
int8_t0,int8_threshold,"LLM.int8, outlier threshold 0.0",16,0.94832,0.05168,0.970399,0.029601,0.00142837,2.330174,"quantized modules: 3152 of 3153 Linear [Linear8bitLt=3152]; 16 layers touched, layers 0-15",19.67,,359.0
int8_t3,int8_threshold,"LLM.int8, outlier threshold 3.0",16,0.952373,0.047627,0.973013,0.026987,0.00068204,2.281693,"quantized modules: 3152 of 3153 Linear [Linear8bitLt=3152]; 16 layers touched, layers 0-15",26.43,,882.5
