config,lever,jaccard_drift,gate_kl,nll,nll_delta
nf4_L12,layer_coverage,0.107384,0.00422291,2.360324,0.08362800000000004
nf4_L16,layer_coverage,0.114156,0.00501273,2.363338,0.08664200000000033
int8_t6,int8_threshold,0.04884,0.00072682,2.279813,0.0031170000000000364
int8_t12,int8_threshold,0.049773,0.00110949,2.303141,0.026445000000000274
nf4,4bit_type,0.113976,0.00497586,2.363891,0.08719500000000036
nf4_dq,4bit_type,0.114156,0.00501273,2.363338,0.08664200000000033
fp4,4bit_type,0.15243,0.00920118,2.390194,0.11349800000000032
fp4_dq,4bit_type,0.152576,0.0092482,2.389313,0.11261700000000019
nf4_fp32c,dequant_precision,0.113978,0.00497354,2.36379,0.087094
nf4_L2,layer_coverage,0.062591,0.00136091,2.29353,0.016834000000000238
nf4_L4,layer_coverage,0.081359,0.0024763,2.355843,0.0791470000000003
nf4_L8,layer_coverage,0.097831,0.00341022,2.360191,0.0834950000000001
int8_t0,int8_threshold,0.05168,0.00142837,2.330174,0.05347800000000014
int8_t3,int8_threshold,0.047627,0.00068204,2.281693,0.004997000000000362
