variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.0.mlp.gate,0.9753086419753088,0.024691358024691246,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.1.mlp.gate,0.9753086419753088,0.024691358024691246,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.10.mlp.gate,0.9753086419753086,0.024691358024691357,0.9814814814814815,0.01851851851851849,54.0
int8,model.layers.11.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int8,model.layers.12.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int8,model.layers.13.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.14.mlp.gate,0.9135802469135805,0.08641975308641947,0.9351851851851852,0.06481481481481477,54.0
int8,model.layers.15.mlp.gate,0.9382716049382718,0.061728395061728225,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.2.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.3.mlp.gate,0.9506172839506173,0.04938271604938271,0.9629629629629629,0.03703703703703709,54.0
int8,model.layers.4.mlp.gate,0.9382716049382718,0.061728395061728225,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.5.mlp.gate,0.9382716049382716,0.06172839506172845,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.6.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int8,model.layers.7.mlp.gate,0.8271604938271605,0.1728395061728395,0.8703703703703703,0.12962962962962965,54.0
int8,model.layers.8.mlp.gate,0.9629629629629629,0.03703703703703709,0.9722222222222222,0.02777777777777779,54.0
int8,model.layers.9.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int4,model.layers.0.mlp.gate,0.9135802469135803,0.08641975308641969,0.9351851851851852,0.06481481481481477,54.0
int4,model.layers.1.mlp.gate,0.9259259259259259,0.07407407407407407,0.9444444444444444,0.05555555555555558,54.0
int4,model.layers.10.mlp.gate,0.9012345679012346,0.09876543209876543,0.9259259259259259,0.07407407407407407,54.0
int4,model.layers.11.mlp.gate,0.8641975308641976,0.1358024691358024,0.8981481481481481,0.10185185185185186,54.0
int4,model.layers.12.mlp.gate,0.8395061728395063,0.16049382716049365,0.8796296296296297,0.12037037037037035,54.0
int4,model.layers.13.mlp.gate,0.8518518518518519,0.14814814814814814,0.8888888888888888,0.11111111111111116,54.0
int4,model.layers.14.mlp.gate,0.820987654320988,0.17901234567901203,0.8611111111111112,0.13888888888888884,54.0
int4,model.layers.15.mlp.gate,0.740740740740741,0.25925925925925897,0.8055555555555556,0.19444444444444442,54.0
int4,model.layers.2.mlp.gate,0.9382716049382717,0.061728395061728336,0.9537037037037037,0.04629629629629628,54.0
int4,model.layers.3.mlp.gate,0.9135802469135804,0.08641975308641958,0.9351851851851852,0.06481481481481477,54.0
int4,model.layers.4.mlp.gate,0.8395061728395062,0.16049382716049376,0.8796296296296297,0.12037037037037035,54.0
int4,model.layers.5.mlp.gate,0.9135802469135804,0.08641975308641958,0.9351851851851852,0.06481481481481477,54.0
int4,model.layers.6.mlp.gate,0.9259259259259258,0.07407407407407418,0.9444444444444444,0.05555555555555558,54.0
int4,model.layers.7.mlp.gate,0.8518518518518519,0.14814814814814814,0.8888888888888888,0.11111111111111116,54.0
int4,model.layers.8.mlp.gate,0.9135802469135802,0.0864197530864198,0.9351851851851852,0.06481481481481477,54.0
int4,model.layers.9.mlp.gate,0.8395061728395063,0.16049382716049365,0.8796296296296297,0.12037037037037035,54.0
